id_municipio,nome_municipio,sigla_uf,bioma_predominante,n_focos,risco_fogo_medio,frp_medio,dias_sem_chuva_medio,precipitacao_media,centroide_lat,centroide_lon
2921609,Morpará,BA,Caatinga,393,0.8757,21.702,33.75,0.443,-11.695040,-43.128007
4318408,São Jerônimo,RS,Pampa,393,0.3012,21.092,4.20,0.337,-30.319845,-51.931506
3162203,São João Batista do Glória,MG,Cerrado,393,0.9323,10.529,24.43,0.251,-20.516710,-46.435413
2308807,Moraújo,CE,Caatinga,392,0.9686,17.218,61.17,0.311,-3.452581,-40.669515
3549706,São José do Rio Pardo,SP,Mata Atlântica,392,0.9520,26.756,12.23,0.423,-21.616699,-46.850974
1100262,Rio Crespo,RO,Amazônia,392,0.6684,32.127,3.80,3.096,-9.622336,-62.775454
2106755,Miranda do Norte,MA,Cerrado,391,0.9256,23.072,10.79,0.373,-3.530696,-44.515495
2302305,Bela Cruz,CE,Caatinga,389,0.9483,17.704,55.56,0.177,-3.048891,-40.247718
2210052,São José do Divino,PI,Caatinga,389,0.9830,73.405,18.27,0.085,-3.782030,-41.760088
4111258,Itaperuçu,PR,Mata Atlântica,389,0.3282,12.114,5.67,0.376,-25.129854,-49.483837
5006606,Ponta Porã,MS,Cerrado,388,0.6668,11.529,6.99,1.044,-22.128722,-55.708005
2209955,São João da Varjota,PI,Caatinga,388,0.9904,19.714,92.14,0.102,-7.006313,-41.854833
2607307,Ipubi,PE,Caatinga,387,0.9261,20.487,21.94,0.288,-7.518957,-40.203911
2306900,Jaguaribe,CE,Caatinga,387,0.9586,18.428,24.49,0.131,-6.010706,-38.772335
3107109,Boa Esperança,MG,Cerrado,387,0.9280,23.235,6.04,0.480,-21.062771,-45.637190
5203962,Buritinópolis,GO,Cerrado,387,0.9936,17.053,35.96,0.008,-14.425123,-46.345879
2110500,São Bento,MA,Amazônia,386,0.7541,44.993,13.58,0.416,-2.831581,-45.080345
2311504,Quixeré,CE,Caatinga,385,0.9114,13.621,34.89,0.099,-5.100769,-37.866268
2605608,Flores,PE,Caatinga,385,0.9048,12.658,14.61,0.681,-7.907074,-37.896893
2308351,Milhã,CE,Caatinga,385,0.9450,24.524,31.21,0.225,-5.627653,-39.165937
2413359,Serra do Mel,RN,Caatinga,383,0.9125,22.135,27.52,0.058,-5.176399,-37.022752
2919405,Licínio de Almeida,BA,Caatinga,383,0.9564,32.937,34.41,0.046,-14.604667,-42.455650
5200134,Acreúna,GO,Cerrado,382,0.7767,66.214,15.60,1.507,-17.479719,-50.259768
5100300,Alto Araguaia,MT,Cerrado,382,0.7319,23.290,9.00,1.498,-17.274587,-53.430067
2925105,Poções,BA,Mata Atlântica,381,0.9593,14.142,24.95,0.076,-14.504480,-40.455055
5200100,Abadiânia,GO,Cerrado,379,0.8862,14.664,14.60,0.460,-16.202924,-48.711836
5100409,Alto Garças,MT,Cerrado,378,0.4692,38.832,7.97,3.801,-16.906251,-53.593874
5204250,Cachoeira Dourada,GO,Mata Atlântica,377,0.9243,32.744,10.07,0.461,-18.471123,-49.557383
3156700,Sabará,MG,Mata Atlântica,377,0.7250,9.922,8.92,0.116,-19.850455,-43.806506
5220157,São Luiz do Norte,GO,Cerrado,377,0.9104,42.587,16.26,0.648,-14.897859,-49.313461
5007208,Rio Brilhante,MS,Mata Atlântica,375,0.6722,51.332,4.15,1.948,-21.752940,-54.376488
2514206,São José da Lagoa Tapada,PB,Caatinga,375,0.9771,24.336,34.29,0.089,-6.941711,-38.129837
2921807,Mortugaba,BA,Caatinga,374,0.8089,27.868,18.97,0.168,-14.986892,-42.315408
1101757,Vale do Anari,RO,Amazônia,373,0.8025,10.717,3.29,1.143,-9.809640,-62.140108
1704600,Chapada de Areia,TO,Cerrado,373,0.6585,22.038,10.09,0.946,-10.159806,-49.199675
2304236,Croatá,CE,Caatinga,372,0.9704,21.590,37.70,0.323,-4.415053,-40.949193
2908606,Conde,BA,Mata Atlântica,372,0.5432,28.167,8.29,4.590,-11.778963,-37.633100
4300406,Alegrete,RS,Pampa,372,0.5453,17.139,6.81,0.173,-29.693216,-55.933068
1722107,Xambioá,TO,Amazônia,372,0.8127,14.569,13.69,0.555,-6.587301,-48.426642
3169406,Três Pontas,MG,Mata Atlântica,372,0.9030,7.764,9.13,0.599,-21.402063,-45.509876
3170909,Varzelândia,MG,Cerrado,372,0.9427,14.075,9.19,0.247,-15.631636,-43.929005
3106705,Betim,MG,Mata Atlântica,371,0.8378,6.228,8.04,0.551,-19.966620,-44.198838
1710706,Itaguatins,TO,Cerrado,371,0.7418,24.192,4.98,0.795,-5.822151,-47.599670
3155504,Rio Paranaíba,MG,Cerrado,370,0.8757,15.184,12.68,0.504,-19.222314,-46.303479
2201770,Boa Hora,PI,Caatinga,370,0.9786,17.299,38.54,0.160,-4.325838,-42.071875
4117305,Ortigueira,PR,Mata Atlântica,367,0.4343,11.671,5.42,0.816,-24.172548,-50.875925
2302602,Camocim,CE,Caatinga,367,0.9216,16.964,50.07,0.145,-2.957491,-40.806221
2504801,Coremas,PB,Caatinga,364,0.8476,19.160,33.63,0.969,-7.041879,-37.992079
3127701,Governador Valadares,MG,Mata Atlântica,364,0.8306,10.574,12.30,0.556,-18.812488,-41.979706
2912400,Ibipeba,BA,Caatinga,363,0.9636,15.189,20.43,0.159,-11.472247,-42.219688
2109304,Presidente Vargas,MA,Cerrado,362,0.9266,27.084,17.11,0.157,-3.338879,-43.956272
5213806,Morrinhos,GO,Cerrado,361,0.8636,23.855,9.04,0.380,-17.754901,-49.133811
4314605,Piratini,RS,Pampa,360,0.3134,11.392,5.28,0.373,-31.400495,-53.112104
3113701,Carlos Chagas,MG,Mata Atlântica,360,0.6576,23.152,29.13,0.492,-17.590289,-40.700519
3149804,Perdizes,MG,Cerrado,358,0.9130,12.965,13.70,0.304,-19.404588,-47.173565
5203302,Bela Vista de Goiás,GO,Cerrado,358,0.9298,19.904,20.60,0.154,-16.920725,-48.950918
3505500,Barretos,SP,Cerrado,357,0.7387,20.363,8.89,1.233,-20.515451,-48.666246
3117009,Comercinho,MG,Mata Atlântica,357,0.9704,13.678,77.41,0.075,-16.287658,-41.786314
5214408,Nazário,GO,Cerrado,356,0.9979,21.758,76.70,0.007,-16.620926,-49.783262
4318309,São Gabriel,RS,Pampa,355,0.7407,10.374,8.25,0.392,-30.483254,-54.286814
4322004,Triunfo,RS,Pampa,355,0.1581,6.127,4.61,0.185,-29.796407,-51.614115
2915403,Itaju do Colônia,BA,Mata Atlântica,354,0.8346,9.302,21.47,0.934,-15.154708,-39.768612
5210802,Itajá,GO,Cerrado,354,0.4994,22.775,3.75,3.315,-18.996922,-51.407387
5203401,Bom Jardim de Goiás,GO,Cerrado,354,0.6062,9.807,6.87,0.402,-16.330713,-52.147432
2305308,Ibiapina,CE,Caatinga,353,0.9841,41.078,51.64,0.099,-3.927925,-40.892124
2905156,Caetanos,BA,Caatinga,353,0.9689,17.789,29.70,0.654,-14.332823,-40.904681
